Time,Error,Actual Speed,Torque,Target Speed
43.2,1.58152,86.9331,144.425,88.5146
43.3,1.57741,86.9372,144.419,88.5146
43.4,1.5733,86.9413,144.413,88.5146
43.5,1.5692,86.9454,144.407,88.5146
43.6,1.56512,86.9495,144.402,88.5146
43.7,1.56104,86.9536,144.396,88.5146
43.8,1.55698,86.9576,144.39,88.5146
43.9,1.55293,86.9617,144.385,88.5146
44,1.54888,86.9657,144.379,88.5146
44.1,1.54485,86.9698,144.373,88.5146
44.2,1.54083,86.9738,144.367,88.5146
44.3,1.53682,86.9778,144.362,88.5146
44.4,1.53282,86.9818,144.356,88.5146
44.5,1.52883,86.9858,144.351,88.5146
44.6,1.52485,86.9898,144.345,88.5146
44.7,1.52088,86.9938,144.339,88.5146
44.8,1.51692,86.9977,144.334,88.5146
44.9,1.51297,87.0017,144.328,88.5146
45,1.50903,87.0056,144.323,88.5146
45.1,1.5051,87.0095,144.317,88.5146
45.2,1.50118,87.0134,144.311,88.5146
45.3,1.49727,87.0174,144.306,88.5146
45.4,1.49337,87.0213,144.3,88.5146
45.5,1.48949,87.0251,144.295,88.5146
45.6,1.48561,87.029,144.289,88.5146
45.7,1.48174,87.0329,144.284,88.5146
45.8,1.47788,87.0367,144.279,88.5146
45.9,1.47404,87.0406,144.273,88.5146
46,1.4702,87.0444,144.268,88.5146
46.1,1.46637,87.0483,144.262,88.5146
46.2,1.46255,87.0521,144.257,88.5146
46.3,1.45874,87.0559,144.252,88.5146
46.4,1.45495,87.0597,144.246,88.5146
46.5,1.45116,87.0635,144.241,88.5146
46.6,1.44738,87.0672,144.236,88.5146
46.7,1.44361,87.071,144.23,88.5146
46.8,1.43985,87.0748,144.225,88.5146
46.9,1.43611,87.0785,144.22,88.5146
47,1.43237,87.0823,144.214,88.5146
47.1,1.42864,87.086,144.209,88.5146
47.2,1.42492,87.0897,144.204,88.5146
47.3,1.42121,87.0934,144.199,88.5146
47.4,1.41751,87.0971,144.193,88.5146
47.5,1.41382,87.1008,144.188,88.5146
47.6,1.41014,87.1045,144.183,88.5146
47.7,1.40647,87.1082,144.178,88.5146
47.8,1.4028,87.1118,144.173,88.5146
47.9,1.39915,87.1155,144.167,88.5146
48,1.39551,87.1191,144.162,88.5146
48.1,1.39188,87.1228,144.157,88.5146
48.2,1.38825,87.1264,144.152,88.5146
48.3,1.38464,87.13,144.147,88.5146
48.4,1.38103,87.1336,144.142,88.5146
48.5,1.37744,87.1372,144.137,88.5146
48.6,1.37385,87.1408,144.132,88.5146
48.7,1.37028,87.1444,144.127,88.5146
48.8,1.36671,87.1479,144.122,88.5146
48.9,1.36315,87.1515,144.117,88.5146
49,1.3596,87.155,144.112,88.5146
49.1,1.35606,87.1586,144.107,88.5146
49.2,1.35253,87.1621,144.102,88.5146
49.3,1.34901,87.1656,144.097,88.5146
49.4,1.3455,87.1691,144.092,88.5146
49.5,1.34199,87.1726,144.087,88.5146
49.6,1.3385,87.1761,144.082,88.5146
49.7,1.33502,87.1796,144.077,88.5146
49.8,1.33154,87.1831,144.072,88.5146
49.9,1.32807,87.1866,144.067,88.5146
50,1.32462,87.19,144.062,88.5146
50.1,1.32117,87.1935,144.057,88.5146
50.2,1.31773,87.1969,144.053,88.5146
50.3,1.3143,87.2003,144.048,88.5146
50.4,1.31088,87.2038,144.043,88.5146
50.5,1.30746,87.2072,144.038,88.5146
50.6,1.30406,87.2106,144.033,88.5146
50.7,1.30067,87.214,144.028,88.5146
50.8,1.29728,87.2173,144.024,88.5146
50.9,1.2939,87.2207,144.019,88.5146
51,1.29053,87.2241,144.014,88.5146
51.1,1.28717,87.2275,144.009,88.5146
51.2,1.28382,87.2308,144.005,88.5146
51.3,1.28048,87.2341,144,88.5146
51.4,1.27715,87.2375,143.995,88.5146
51.5,1.27382,87.2408,143.991,88.5146
51.6,1.27051,87.2441,143.986,88.5146
51.7,1.2672,87.2474,143.981,88.5146
51.8,1.2639,87.2507,143.977,88.5146
51.9,1.26061,87.254,143.972,88.5146
52,1.25733,87.2573,143.967,88.5146
52.1,1.25405,87.2606,143.963,88.5146
52.2,1.25079,87.2638,143.958,88.5146
52.3,1.24753,87.2671,143.954,88.5146
52.4,1.24429,87.2703,143.949,88.5146
52.5,1.24105,87.2736,143.944,88.5146
52.6,1.23782,87.2768,143.94,88.5146
52.7,1.23459,87.28,143.935,88.5146
52.8,1.23138,87.2832,143.931,88.5146
52.9,1.22817,87.2865,143.926,88.5146
53,1.22498,87.2897,143.922,88.5146
53.1,1.22179,87.2928,143.917,88.5146
53.2,1.21861,87.296,143.913,88.5146
53.3,1.21543,87.2992,143.908,88.5146
53.4,1.21227,87.3024,143.904,88.5146
53.5,1.20911,87.3055,143.899,88.5146
53.6,1.20597,87.3087,143.895,88.5146
53.7,1.20283,87.3118,143.891,88.5146
53.8,1.1997,87.3149,143.886,88.5146
53.9,1.19657,87.3181,143.882,88.5146
54,1.19346,87.3212,143.877,88.5146
54.1,1.19035,87.3243,143.873,88.5146
54.2,1.18725,87.3274,143.869,88.5146
54.3,1.18416,87.3305,143.864,88.5146
54.4,1.18108,87.3335,143.86,88.5146
54.5,1.17801,87.3366,143.856,88.5146
54.6,1.17494,87.3397,143.851,88.5146
54.7,1.17188,87.3427,143.847,88.5146
54.8,1.16883,87.3458,143.843,88.5146
